petition_id,label_length,abstract_length,num_signatures
12153,8,37,2432
11858,8,47,2426
861,6,40,2425
7185,10,46,2416
8955,9,47,2405
8927,10,40,2403
4054,13,49,2401
5476,10,46,2394
4404,12,47,2392
9072,9,43,2391
10595,6,44,2382
7893,13,30,2382
4107,13,37,2379
2137,13,53,2375
11787,11,42,2375
2628,5,34,2370
7051,10,48,2366
8613,15,49,2364
1957,13,45,2363
3926,10,50,2357
393,12,51,2355
5890,11,58,2353
2317,13,48,2351
132,16,57,2351
5275,10,53,2347
4259,9,52,2345
11081,13,22,2343
6146,10,47,2342
45,10,47,2341
6058,14,56,2339
2215,14,45,2337
6880,8,48,2336
7088,9,53,2333
7727,13,48,2331
10596,12,37,2328
4164,14,45,2328
7523,13,45,2326
4073,10,30,2324
5645,14,19,2321
4648,10,41,2320
1963,9,41,2320
9164,10,49,2315
4439,14,36,2306
2439,11,50,2300
9520,8,41,2298
9986,11,42,2298
7387,8,50,2295
9050,6,40,2294
2050,12,49,2292
2513,16,46,2292
4610,16,48,2280
1679,12,49,2277
3296,12,46,2277
3683,9,50,2276
7739,10,45,2274
504,9,30,2273
1057,13,49,2271
7010,4,58,2263
3649,14,31,2258
1045,9,55,2256
1143,10,47,2255
7102,6,30,2254
8180,14,49,2253
10174,13,26,2252
7209,11,51,2251
12060,7,40,2247
68,11,49,2246
5459,11,43,2238
6989,11,52,2236
6853,10,44,2235
6015,10,49,2235
7140,13,50,2233
